"naftournament";"nafcoach";"race"
"95";"754";"1"
"95";"1359";"2"
"95";"1524";"2"
"95";"4051";"3"
"95";"4191";"1"
"95";"4435";"3"
"95";"4769";"11"
"95";"4770";"2"
"95";"4771";"5"
"95";"4774";"14"
"122";"2940";"13"
"122";"1101";"12"
"122";"2515";"1"
"122";"3291";"3"
"122";"3635";"19"
"122";"3790";"2"
"122";"3899";"2"
"122";"4839";"12"
"122";"212";"2"
"122";"1147";"18"
"122";"2508";"13"
"122";"4843";"12"
"122";"4845";"9"
"122";"53";"15"
"122";"1102";"6"
"122";"2502";"12"
"122";"2504";"2"
"122";"2512";"6"
"122";"2517";"5"
"122";"2519";"1"
"122";"7710";"5"
"122";"3706";"6"
"122";"3726";"12"
"122";"4836";"13"
"122";"4837";"1"
"122";"4841";"5"
"122";"4844";"5"
"122";"1103";"11"
"122";"3900";"1"
"122";"3298";"1"
"122";"3588";"19"
"122";"4838";"1"
"122";"207";"18"
"122";"3294";"18"
"122";"3902";"5"
"119";"1295";"12"
"119";"2940";"19"
"119";"3899";"1"
"119";"3902";"5"
"119";"3903";"9"
"119";"4006";"5"
"119";"3431";"11"
"104";"184";"9"
"104";"190";"6"
"104";"1191";"5"
"104";"1199";"1"
"104";"3020";"19"
"104";"3398";"5"
"104";"3903";"9"
"104";"4095";"15"
"115";"5";"17"
"115";"219";"1"
"115";"231";"11"
"115";"3549";"19"
"115";"3587";"2"
"115";"3834";"8"
"106";"57";"11"
"106";"69";"9"
"106";"86";"2"
"106";"99";"3"
"106";"101";"1"
"106";"144";"1"
"106";"472";"1"
"106";"1019";"18"
"106";"1128";"1"
"106";"4932";"4"
"106";"1524";"2"
"106";"1347";"5"
"106";"2460";"14"
"106";"2464";"2"
"106";"3408";"2"
"106";"3409";"3"
"106";"3530";"9"
"106";"3534";"3"
"106";"3750";"1"
"106";"3815";"13"
"106";"3874";"3"
"106";"3892";"8"
"106";"3909";"5"
"106";"4019";"12"
"106";"4926";"5"
"106";"4927";"19"
"106";"4929";"12"
"106";"4930";"4"
"106";"4931";"18"
